item,name,homepage_url,repo_url,logo,crunchbase,twitter,category,subcategory,project,license,description,stock_ticker,additional_repos,url_for_bestpractices,organization.name
,Mathesar,https://mathesar.org,https://github.com/centerofci/mathesar,mathesar.svg,https://www.crunchbase.com/organization/center-of-complex-interventions,,Data,Operations,,GPL 3.0,,,,,
,Amundsen,https://www.amundsen.io/,https://github.com/amundsen-io/amundsen,amundsen.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Data,Operations,incubating,,,,,,
,Apache Hive,https://hive.apache.org/,https://github.com/apache/hive,hive.svg,https://www.crunchbase.com/organization/apache,,Data,Operations,,,,,,,
,CKAN,https://ckan.org/,https://github.com/ckan/ckan,ckan.svg,https://www.crunchbase.com/organization/open-knowledge-foundation,https://twitter.com/ckanproject,Data,Operations,,,,,,,
,DataHub,https://github.com/datahub-project/datahub,https://github.com/datahub-project/datahub,datahub.svg,https://www.crunchbase.com/organization/linkedin,,Data,Operations,,,,,,,
,Datashim,https://github.com/datashim-io/datashim,https://github.com/datashim-io/datashim,datashim.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Data,Operations,incubating,,,,,,
,great_expectations,https://greatexpectations.io/,https://github.com/great-expectations/great_expectations,great-expectations.svg,https://www.crunchbase.com/organization/great-expectations-c89a,,Data,Operations,,,,,,,
,Marquez,https://marquezproject.github.io/marquez,https://github.com/MarquezProject/marquez,marquez.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,https://twitter.com/MarquezProject,Data,Operations,incubating,,,,,,
,snorkel,https://www.snorkel.org/,https://github.com/snorkel-team/snorkel,snorkel.svg,https://www.crunchbase.com/organization/stanford-university,https://twitter.com/SnorkelAI,Data,Operations,,,,,,,
,whylogs,https://github.com/whylabs/whylogs,https://github.com/whylabs/whylogs,whylogs.svg,https://www.crunchbase.com/organization/whylabs,,Data,Operations,,,,,,,
,Feast,https://feast.dev/,https://github.com/feast-dev/feast,feast.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Data,Feature Engineering,incubating,,,,,,
,Feathr,https://github.com/linkedin/feathr,https://github.com/linkedin/feathr,feathr.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Data,Feature Engineering,sandbox,,,,,,
,Featuretools,https://www.featuretools.com/,https://github.com/alteryx/featuretools,featuretools.svg,https://www.crunchbase.com/organization/feature-labs,,Data,Feature Engineering,,,,,,,
,OpenMLDB,https://openmldb.ai/,https://github.com/4paradigm/OpenMLDB,openMLDB.svg,https://www.crunchbase.com/organization/4paradigm,https://twitter.com/openmldb,Data,Feature Engineering,,,,,,,
,tsfresh,https://tsfresh.readthedocs.io/en/latest,https://github.com/blue-yonder/tsfresh,tsfresh.svg,https://www.crunchbase.com/organization/blue-yonder,,Data,Feature Engineering,,,,,,,
,Apache RocketMQ,https://rocketmq.apache.org/,https://github.com/apache/rocketmq,rocketmq.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/ApacheRocketMQ,Data,Stream Processing,,,,,,,
